network,module,enrichment,correlation
signum0.0861_minSize8,lavenderblush,1,-0.140021575544637
signum0.0861_minSize8,mediumorchid,1,0.0472398577351517
signum0.0861_minSize8,darkseagreen1,1,-0.247136254485487
signum0.0861_minSize8,skyblue2,1,-0.00207480849151022
signum0.0861_minSize8,black,1,-0.228653149588707
signum0.0861_minSize8,yellow4,0.0431298713313398,0.0445921957116751
signum0.0861_minSize8,white,1,-0.00789310049038084
signum0.0861_minSize8,skyblue1,1,0.20713181849544
signum0.0861_minSize8,plum,1,-0.0179173865155908
signum0.0861_minSize8,orangered3,1,-0.00598763159195753
signum0.0861_minSize8,mediumpurple2,1,-0.0606769673958555
signum0.0861_minSize8,skyblue,1,0.324648427980824
signum0.0861_minSize8,lightsteelblue,1,0.033058047642879
signum0.0861_minSize8,lightcoral,1,0.131406972852044
signum0.0861_minSize8,indianred4,1,-0.0277371774081012
signum0.0861_minSize8,firebrick4,1,-0.0312158550065463
signum0.0861_minSize8,midnightblue,1,0.0199555044887312
signum0.0861_minSize8,darkolivegreen2,1,0.0970094060107351
signum0.0861_minSize8,magenta,1,0.0129468203166586
signum0.0861_minSize8,darkolivegreen4,1,0.0144499101754845
signum0.0861_minSize8,saddlebrown,0.0639974300443525,0.0361810150868903
signum0.0861_minSize8,brown2,1,-0.150029861223366
signum0.0861_minSize8,blue2,1,-0.182590261661154
signum0.0861_minSize8,darkviolet,1,-0.129898799754088
signum0.0861_minSize8,plum3,1,-0.116014099191338
signum0.0861_minSize8,thistle3,1,0.0756336546941663
signum0.0861_minSize8,thistle,1,0.0808302093821273
signum0.0861_minSize8,salmon2,1,-0.233068550729075
signum0.0861_minSize8,palevioletred2,1,-0.058040246932033
signum0.0861_minSize8,antiquewhite2,1,-0.0729939837392545
signum0.0861_minSize8,navajowhite1,1,-0.0614528746510347
signum0.0861_minSize8,magenta4,1,-0.0162093718124633
signum0.0861_minSize8,lightpink3,1,-0.0432892738829934
signum0.0861_minSize8,lavenderblush2,1,0.0637812217792666
signum0.0861_minSize8,honeydew,1,0.316975956227111
signum0.0861_minSize8,darkseagreen3,1,0.177232183266286
signum0.0861_minSize8,steelblue,1,0.00672095664890311
signum0.0861_minSize8,coral,1,-0.00699861506581027
signum0.0861_minSize8,tan,1,0.224749866130405
signum0.0861_minSize8,purple,1,0.0354196196807836
signum0.0861_minSize8,coral3,1,0.119600034036709
signum0.0861_minSize8,mediumpurple4,1,-0.15488067571953
signum0.0861_minSize8,brown1,1,0.0795193243389844
signum0.0861_minSize8,skyblue4,0.0483896398074882,0.088275691871393
signum0.0861_minSize8,yellow3,1,-0.0191904657810508
signum0.0861_minSize8,sienna4,1,-0.00227477200770537
signum0.0861_minSize8,pink4,1,-0.133990284020106
signum0.0861_minSize8,orangered1,1,-0.0959930582660481
signum0.0861_minSize8,darkgrey,1,0.0534673064230375
signum0.0861_minSize8,mediumpurple1,1,0.220163405224613
signum0.0861_minSize8,lightslateblue,1,0.153804651955763
signum0.0861_minSize8,lightblue4,1,0.184329895582783
signum0.0861_minSize8,indianred3,1,-0.0888462815036767
signum0.0861_minSize8,firebrick3,1,0.0656179068179591
signum0.0861_minSize8,darkred,1,0.544768372437006
signum0.0861_minSize8,blueviolet,1,0.0569166606316734
signum0.0861_minSize8,blue4,1,-0.0491106291441528
signum0.0861_minSize8,deeppink,1,-0.0886284340713396
signum0.0861_minSize8,plum4,0.0431298713313398,0.243426973299332
signum0.0861_minSize8,thistle4,1,0.0238739759789976
signum0.0861_minSize8,tan4,1,0.0890430114410687
signum0.0861_minSize8,salmon1,1,-0.0540247589634178
signum0.0861_minSize8,palevioletred1,1,-0.110239633009273
signum0.0861_minSize8,navajowhite,1,0.127006341840237
signum0.0861_minSize8,magenta3,1,-0.0513154399418487
signum0.0861_minSize8,lightpink2,1,0.148196837644583
signum0.0861_minSize8,lavenderblush1,1,-0.0163969599068785
signum0.0861_minSize8,green4,1,-0.0771763177897152
signum0.0861_minSize8,darkseagreen2,1,-0.148699000900177
signum0.0861_minSize8,chocolate4,1,0.080332518811613
signum0.0861_minSize8,antiquewhite1,1,-0.0723968887154741
signum0.0861_minSize8,coral4,1,-0.106716093648646
signum0.0861_minSize8,mistyrose,1,0.246158269938564
signum0.0861_minSize8,greenyellow,3.79400422399997e-23,0.800156714209075
signum0.0861_minSize8,slateblue,1,0.0366513343571361
signum0.0861_minSize8,yellow2,0.0536207190449211,0.220962213141928
signum0.0861_minSize8,sienna2,0.000820960757815441,0.288852415357983
signum0.0861_minSize8,pink3,1,-0.110844621737161
signum0.0861_minSize8,orangered,1,-0.101484709834753
